Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,0,1,2014-05-01,8,1,4,4,0,9,4,0.4780186325212733,0.4780186325212733,0,1
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.627317674607358,0.627317674607358,0,0
1,1,1,1,0,2015-02-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2015-03-01,45,1,8,13,1,13,13,0.6729691579584586,0.6729691579584586,1,0
1,1,1,1,0,2014-10-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2019-01-01,55,1,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2015-01-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,1,2014-04-01,46,0,8,14,1,7,14,0.6316387682097876,0.6316387682097876,1,1
1,1,1,0,0,2014-09-01,22,0,4,7,0,7,7,0.42927893068399786,0.42927893068399786,0,0
1,1,1,0,0,2014-06-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2014-10-01,3,0,8,2,1,2,2,0.2640003141093337,0.2640003141093337,1,0
1,1,1,0,0,2014-04-01,26,0,4,8,0,8,8,0.3447427584211297,0.3447427584211297,0,0
1,1,1,0,1,2014-04-01,8,1,4,4,0,9,4,0.4780186325212733,0.4780186325212733,1,1
1,1,1,1,0,2014-07-01,45,0,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,1,1,1,0,2014-07-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2015-04-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,0,1,1,1,2014-11-01,46,0,7,14,1,14,14,0.42540251274062385,0.42540251274062385,0,1
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2014-10-01,13,0,8,5,1,5,5,0.7343126705512076,0.7343126705512076,1,0
1,1,1,1,0,2014-07-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2014-06-01,49,0,8,15,1,15,15,0.606704275140858,0.606704275140858,1,0
1,1,1,1,0,2014-07-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2014-07-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2016-12-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2016-04-01,55,1,8,17,1,17,17,0.3277099296717538,0.3277099296717538,1,0
1,1,1,1,0,2014-11-01,39,1,8,10,0,10,10,0.627317674607358,0.627317674607358,0,0
1,1,1,1,0,2014-05-01,46,0,8,14,1,14,14,0.6316387682097876,0.6316387682097876,1,0
1,1,1,1,0,2014-11-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2014-07-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2014-06-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,1,2014-07-01,46,1,8,14,0,5,14,0.6316387682097876,0.6316387682097876,1,1
1,1,1,0,0,2014-12-01,6,0,4,3,0,3,3,0.20384774276429496,0.20384774276429496,0,0
1,1,1,1,0,2015-09-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2014-10-01,13,1,8,5,1,5,5,0.7343126705512076,0.7343126705512076,1,0
1,1,1,1,0,2015-04-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2014-11-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,0,0,2014-10-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2015-04-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,0,1,2014-06-01,8,1,4,4,0,9,4,0.4780186325212733,0.4780186325212733,1,1
1,1,1,1,1,2014-06-01,30,0,8,9,1,5,13,0.7792245637102155,0.7792245637102155,1,1
1,1,1,1,0,2015-03-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,1,2014-11-01,13,1,8,5,1,5,13,0.7343126705512076,0.7343126705512076,1,1
1,1,1,1,0,2015-02-01,39,1,8,10,1,10,10,0.627317674607358,0.627317674607358,1,0
1,1,1,1,0,2014-09-01,45,1,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,1,1,0,0,2014-11-01,6,0,4,3,1,3,3,0.20384774276429496,0.20384774276429496,1,0
1,1,1,0,0,2016-03-01,6,1,4,3,0,3,3,0.20384774276429496,0.20384774276429496,0,0
1,1,1,1,0,2014-12-01,3,0,8,2,1,2,2,0.2640003141093337,0.2640003141093337,1,0
1,1,1,1,0,2014-11-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,1,0,2015-02-01,39,1,8,10,0,10,10,0.627317674607358,0.627317674607358,0,0
1,1,1,1,0,2015-03-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-06-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2016-10-01,46,0,8,14,0,14,14,0.6316387682097876,0.6316387682097876,0,0
1,1,1,1,1,2015-11-01,49,0,8,15,1,13,5,0.606704275140858,0.606704275140858,0,1
1,1,1,1,1,2014-11-01,2,1,8,1,0,10,14,0.34395645165596855,0.34395645165596855,1,1
1,1,1,1,0,2014-12-01,46,1,8,14,1,14,14,0.6316387682097876,0.6316387682097876,1,0
1,1,1,1,1,2015-01-01,55,0,8,17,0,5,14,0.3277099296717538,0.3277099296717538,1,1
1,1,1,0,0,2014-07-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,0,1,1,0,2014-11-01,8,0,7,4,0,4,4,0.21354596699612077,0.21354596699612077,0,0
1,1,1,0,0,2014-07-01,6,0,4,3,1,3,3,0.20384774276429496,0.20384774276429496,1,0
1,1,1,1,0,2015-02-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,0,2015-08-01,22,1,8,7,1,7,7,0.4519997332776495,0.4519997332776495,1,0
1,1,1,1,0,2014-06-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,0,0,2014-10-01,3,0,4,2,0,2,2,0.2148474479987802,0.2148474479987802,0,0
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2015-02-01,3,0,8,2,1,2,2,0.2640003141093337,0.2640003141093337,1,0
1,1,1,1,0,2015-01-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,0,1,0,0,2013-11-01,3,0,3,2,0,2,2,0.14054353574090914,0.14054353574090914,0,0
1,1,1,0,0,2014-11-01,2,0,4,1,0,1,1,0.17893968076747307,0.17893968076747307,0,0
1,1,1,1,0,2015-02-01,49,0,8,15,0,15,15,0.606704275140858,0.606704275140858,0,0
1,1,1,1,0,2015-04-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,0,0,0,0,2013-12-01,8,0,1,4,0,4,4,0.06575573797894035,0.06575573797894035,0,0
1,1,1,0,0,2014-10-01,8,0,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,0,0,2015-05-01,3,1,4,2,0,2,2,0.2148474479987802,0.2148474479987802,0,0
1,1,1,0,0,2014-10-01,8,0,4,4,1,4,4,0.4780186325212733,0.4780186325212733,1,0
1,1,1,1,0,2015-12-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,0,1,1,0,2016-03-01,8,1,7,4,0,4,4,0.21354596699612077,0.21354596699612077,0,0
1,1,1,1,0,2017-04-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2015-05-01,13,1,8,5,1,5,5,0.7343126705512076,0.7343126705512076,1,0
1,1,1,1,0,2015-04-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,0,1,0,0,2014-12-01,8,0,3,4,0,4,4,0.1736262684634373,0.1736262684634373,0,0
1,1,1,1,0,2015-03-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2014-09-01,46,1,8,14,1,14,14,0.6316387682097876,0.6316387682097876,1,0
1,1,1,1,0,2016-01-01,13,1,8,5,1,5,5,0.7343126705512076,0.7343126705512076,1,0
1,1,1,1,0,2015-04-01,22,0,8,7,0,7,7,0.4519997332776495,0.4519997332776495,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,0,2015-05-01,3,1,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,0,0,2015-05-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2015-01-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,1,2015-06-01,6,0,8,3,0,14,14,0.2963005397489914,0.2963005397489914,0,1
1,1,1,1,0,2015-06-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,1,2015-05-01,22,0,8,7,1,14,14,0.4519997332776495,0.4519997332776495,0,1
1,1,1,1,0,2015-02-01,49,1,8,15,0,15,15,0.606704275140858,0.606704275140858,0,0
1,1,1,1,0,2015-04-01,3,1,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2018-07-01,55,0,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2017-12-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2015-04-01,55,1,8,17,1,17,17,0.3277099296717538,0.3277099296717538,1,0
1,1,1,1,0,2015-02-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2014-10-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,0,0,2015-05-01,13,0,4,5,0,5,5,0.6085007699205213,0.6085007699205213,0,0
1,1,1,1,0,2014-12-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,1,0,2014-11-01,49,0,8,15,0,15,15,0.606704275140858,0.606704275140858,0,0
1,1,1,1,0,2017-04-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,0,1,1,0,2015-02-01,6,1,7,3,1,3,3,0.1274431312383761,0.1274431312383761,1,0
1,0,1,0,0,2015-07-01,39,0,3,10,0,10,10,0.34433126072498393,0.34433126072498393,0,0
1,1,1,1,0,2015-02-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2017-03-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,0,1,0,2016-02-01,8,1,6,4,0,4,4,0.3373619051891003,0.3373619051891003,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,0,2015-11-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2014-11-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-10-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2016-03-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-08-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,0,0,2015-10-01,49,0,4,15,1,15,15,0.5309934166923566,0.5309934166923566,1,0
1,1,1,1,0,2015-12-01,13,0,8,5,0,5,5,0.7343126705512076,0.7343126705512076,0,0
1,1,1,1,0,2017-02-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,1,2016-03-01,22,1,8,7,1,15,13,0.4519997332776495,0.4519997332776495,0,1
1,1,1,0,0,2015-11-01,8,0,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2015-09-01,55,0,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2016-03-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,1,2015-08-01,45,1,8,13,0,7,14,0.6729691579584586,0.6729691579584586,1,1
1,1,1,1,0,2015-07-01,46,1,8,14,1,14,14,0.6316387682097876,0.6316387682097876,1,0
1,1,1,0,0,2015-07-01,8,1,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2016-03-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2016-03-01,49,1,8,15,1,15,15,0.606704275140858,0.606704275140858,1,0
1,1,1,1,0,2015-12-01,45,1,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,1,1,1,0,2017-01-01,3,1,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2015-07-01,55,1,8,17,1,17,17,0.3277099296717538,0.3277099296717538,1,0
1,1,1,1,0,2015-11-01,3,0,8,2,1,2,2,0.2640003141093337,0.2640003141093337,1,0
1,1,1,1,0,2015-12-01,55,0,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2016-08-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2016-03-01,55,0,8,17,0,17,17,0.3277099296717538,0.3277099296717538,0,0
1,1,1,1,0,2016-03-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,1,2016-01-01,8,0,8,4,1,15,13,0.4590782597387315,0.4590782597387315,0,1
1,1,1,1,0,2016-01-01,13,1,8,5,0,5,5,0.7343126705512076,0.7343126705512076,0,0
1,1,1,1,0,2015-10-01,39,1,8,10,0,10,10,0.627317674607358,0.627317674607358,0,0
1,1,1,1,0,2015-11-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,1,2016-03-01,30,0,8,9,1,15,13,0.7792245637102155,0.7792245637102155,1,1
1,1,1,1,0,2016-11-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,0,2016-03-01,49,1,8,15,1,15,15,0.606704275140858,0.606704275140858,1,0
1,1,1,1,0,2018-12-01,45,1,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,0,1,1,0,2014-09-01,6,0,7,3,0,3,3,0.1274431312383761,0.1274431312383761,0,0
1,1,1,1,1,2016-07-01,30,0,8,9,0,13,5,0.7792245637102155,0.7792245637102155,0,1
1,1,1,1,0,2016-02-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,1,1,1,0,2015-11-01,6,0,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,0,2015-12-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,1,2016-04-01,45,1,8,13,1,5,10,0.6729691579584586,0.6729691579584586,1,1
1,1,1,0,0,2016-10-01,8,0,4,4,0,4,4,0.4780186325212733,0.4780186325212733,0,0
1,1,1,1,0,2016-05-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,0,0,0,1,2016-09-01,41,0,1,12,0,4,3,0.18657640761339875,0.18657640761339875,0,1
1,1,1,1,0,2016-01-01,22,1,8,7,1,7,7,0.4519997332776495,0.4519997332776495,1,0
1,1,1,1,0,2016-01-01,39,1,8,10,1,10,10,0.627317674607358,0.627317674607358,1,0
1,1,1,1,0,2015-12-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
1,0,1,1,0,2015-02-01,8,0,7,4,0,4,4,0.21354596699612077,0.21354596699612077,0,0
1,1,1,1,0,2016-02-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,1,1,0,2016-02-01,50,1,8,16,1,16,16,0.7116911484154131,0.7116911484154131,1,0
1,1,1,1,0,2017-12-01,8,1,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
